,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
3910,2020-03-19,Madison,Montana,30057.0,1,0.0,,,,-0.069200002
4517,2020-03-20,Madison,Montana,30057.0,1,0.0,,,,-0.31799999
5222,2020-03-21,Madison,Montana,30057.0,1,0.0,,,,-0.40000001
5985,2020-03-22,Madison,Montana,30057.0,1,0.0,,,,-0.37599999
6817,2020-03-23,Madison,Montana,30057.0,1,0.0,,,,-0.414
7706,2020-03-24,Madison,Montana,30057.0,1,0.0,,,,-0.528
8664,2020-03-25,Madison,Montana,30057.0,2,0.0,,,,-0.61400002
9721,2020-03-26,Madison,Montana,30057.0,2,0.0,,,,-0.60600001
10848,2020-03-27,Madison,Montana,30057.0,3,0.0,,,,-0.41
12015,2020-03-28,Madison,Montana,30057.0,3,0.0,,,,-0.41700000000000004
13231,2020-03-29,Madison,Montana,30057.0,4,0.0,,,,-0.34099999
14484,2020-03-30,Madison,Montana,30057.0,4,1.0,,,,-0.48699999
15773,2020-03-31,Madison,Montana,30057.0,6,1.0,,,,-0.56400001
17096,2020-04-01,Madison,Montana,30057.0,6,1.0,,,,-0.53799999
18444,2020-04-02,Madison,Montana,30057.0,6,1.0,,,,-0.56999999
19823,2020-04-03,Madison,Montana,30057.0,6,1.0,,,,-0.597
21231,2020-04-04,Madison,Montana,30057.0,6,1.0,,,,-0.55699998
22655,2020-04-05,Madison,Montana,30057.0,9,1.0,,,,-0.53399998
24089,2020-04-06,Madison,Montana,30057.0,9,1.0,,,,-0.49700001
25537,2020-04-07,Madison,Montana,30057.0,9,1.0,,,,-0.38499999
26994,2020-04-08,Madison,Montana,30057.0,9,1.0,,,,-0.27399999
28456,2020-04-09,Madison,Montana,30057.0,8,1.0,,,,-0.278
29930,2020-04-10,Madison,Montana,30057.0,8,1.0,,,,-0.28400001
31419,2020-04-11,Madison,Montana,30057.0,8,1.0,,,,-0.31999999
32914,2020-04-12,Madison,Montana,30057.0,8,1.0,,,,-0.48800001
34413,2020-04-13,Madison,Montana,30057.0,8,1.0,,,,-0.44
35916,2020-04-14,Madison,Montana,30057.0,8,1.0,,,,-0.528
37425,2020-04-15,Madison,Montana,30057.0,8,1.0,,,,-0.65899998
38939,2020-04-16,Madison,Montana,30057.0,8,1.0,,,,-0.74299997
40455,2020-04-17,Madison,Montana,30057.0,8,1.0,,,,-0.75599998
41975,2020-04-18,Madison,Montana,30057.0,8,1.0,,,,-0.72799999
43500,2020-04-19,Madison,Montana,30057.0,8,1.0,,,,-0.63300002
45027,2020-04-20,Madison,Montana,30057.0,8,1.0,,,,-0.66900003
46555,2020-04-21,Madison,Montana,30057.0,8,1.0,,,,-0.59299999
48085,2020-04-22,Madison,Montana,30057.0,8,1.0,,,,-0.48899999
49616,2020-04-23,Madison,Montana,30057.0,8,1.0,,,,-0.308
51147,2020-04-24,Madison,Montana,30057.0,8,1.0,,,,-0.35200000000000004
52680,2020-04-25,Madison,Montana,30057.0,8,1.0,,,,-0.331
54215,2020-04-26,Madison,Montana,30057.0,8,1.0,,,,-0.384
55751,2020-04-27,Madison,Montana,30057.0,8,1.0,,,,-0.29800001
57288,2020-04-28,Madison,Montana,30057.0,8,1.0,,,,-0.39399999
58826,2020-04-29,Madison,Montana,30057.0,8,1.0,,,,-0.43799999
60364,2020-04-30,Madison,Montana,30057.0,8,1.0,,,,-0.34999999
61903,2020-05-01,Madison,Montana,30057.0,8,1.0,,,,-0.25400001
63444,2020-05-02,Madison,Montana,30057.0,8,1.0,,,,-0.32800001
64986,2020-05-03,Madison,Montana,30057.0,8,1.0,,,,-0.41800001
66530,2020-05-04,Madison,Montana,30057.0,8,1.0,,,,-0.48500001
