,date,county,state,fips,cases,deaths,emp_combined,emp_combined_inclow,merchants_all,spend_all
89976,2020-05-19,Avery,North Carolina,37011.0,1,0.0,,,,-0.20900001
91536,2020-05-20,Avery,North Carolina,37011.0,1,0.0,,,,-0.221
93096,2020-05-21,Avery,North Carolina,37011.0,1,0.0,,,,-0.17200001
94658,2020-05-22,Avery,North Carolina,37011.0,2,0.0,,,,-0.23100001
96222,2020-05-23,Avery,North Carolina,37011.0,2,0.0,,,,-0.233
97787,2020-05-24,Avery,North Carolina,37011.0,2,0.0,,,,-0.27000001
99352,2020-05-25,Avery,North Carolina,37011.0,2,0.0,,,,-0.29600000000000004
100917,2020-05-26,Avery,North Carolina,37011.0,2,0.0,,,,-0.32499999
102482,2020-05-27,Avery,North Carolina,37011.0,2,0.0,,,,-0.31200001
104048,2020-05-28,Avery,North Carolina,37011.0,2,0.0,,,,-0.33000001
105615,2020-05-29,Avery,North Carolina,37011.0,2,0.0,,,,-0.27000001
107182,2020-05-30,Avery,North Carolina,37011.0,2,0.0,,,,-0.27000001
108749,2020-05-31,Avery,North Carolina,37011.0,2,0.0,,,,-0.27500001
110316,2020-06-01,Avery,North Carolina,37011.0,2,0.0,,,,-0.23999999
111884,2020-06-02,Avery,North Carolina,37011.0,2,0.0,,,,-0.22
113453,2020-06-03,Avery,North Carolina,37011.0,2,0.0,,,,-0.12300000000000001
115023,2020-06-04,Avery,North Carolina,37011.0,2,0.0,,,,-0.068499997
116594,2020-06-05,Avery,North Carolina,37011.0,3,0.0,,,,-0.040399998
118166,2020-06-06,Avery,North Carolina,37011.0,3,0.0,,,,0.022700001
119738,2020-06-07,Avery,North Carolina,37011.0,3,0.0,,,,0.0136
121310,2020-06-08,Avery,North Carolina,37011.0,4,0.0,,,,-0.013000000000000001
122882,2020-06-09,Avery,North Carolina,37011.0,6,0.0,,,,-0.040399998
124454,2020-06-10,Avery,North Carolina,37011.0,6,0.0,,,,-0.162
126026,2020-06-11,Avery,North Carolina,37011.0,6,0.0,,,,-0.16399999999999998
127598,2020-06-12,Avery,North Carolina,37011.0,6,0.0,,,,-0.221
129171,2020-06-13,Avery,North Carolina,37011.0,6,0.0,,,,-0.25600001
130744,2020-06-14,Avery,North Carolina,37011.0,6,0.0,,,,-0.22400001
132317,2020-06-15,Avery,North Carolina,37011.0,6,0.0,,,,-0.17900001
133891,2020-06-16,Avery,North Carolina,37011.0,6,0.0,,,,-0.11599999999999999
135466,2020-06-17,Avery,North Carolina,37011.0,6,0.0,,,,-0.035599999
137043,2020-06-18,Avery,North Carolina,37011.0,6,0.0,,,,-0.09799999699999999
138620,2020-06-19,Avery,North Carolina,37011.0,8,0.0,,,,-0.10099999999999999
140198,2020-06-20,Avery,North Carolina,37011.0,7,0.0,,,,-0.039099998999999996
141776,2020-06-21,Avery,North Carolina,37011.0,8,0.0,,,,0.059999999000000005
143356,2020-06-22,Avery,North Carolina,37011.0,8,0.0,,,,0.083400004
144936,2020-06-23,Avery,North Carolina,37011.0,8,0.0,,,,0.111
146516,2020-06-24,Avery,North Carolina,37011.0,8,0.0,,,,0.0143
148096,2020-06-25,Avery,North Carolina,37011.0,8,0.0,,,,0.024900001
149677,2020-06-26,Avery,North Carolina,37011.0,8,0.0,,,,0.098800004
151258,2020-06-27,Avery,North Carolina,37011.0,9,0.0,,,,0.0427
152839,2020-06-28,Avery,North Carolina,37011.0,9,0.0,,,,-0.127
154420,2020-06-29,Avery,North Carolina,37011.0,9,0.0,,,,-0.16699999999999998
156001,2020-06-30,Avery,North Carolina,37011.0,12,0.0,,,,-0.17600000000000002
157582,2020-07-01,Avery,North Carolina,37011.0,12,0.0,,,,-0.11900000000000001
159163,2020-07-02,Avery,North Carolina,37011.0,13,0.0,,,,-0.09799999699999999
160745,2020-07-03,Avery,North Carolina,37011.0,13,0.0,,,,-0.20600000000000002
162327,2020-07-04,Avery,North Carolina,37011.0,14,0.0,,,,-0.09080000199999999
163909,2020-07-05,Avery,North Carolina,37011.0,15,0.0,,,,-0.0264
165491,2020-07-06,Avery,North Carolina,37011.0,18,0.0,,,,-0.039799998999999996
167073,2020-07-07,Avery,North Carolina,37011.0,18,0.0,,,,-0.24100000000000002
168655,2020-07-08,Avery,North Carolina,37011.0,19,0.0,,,,-0.28799999
170238,2020-07-09,Avery,North Carolina,37011.0,21,0.0,,,,-0.31400001
171821,2020-07-10,Avery,North Carolina,37011.0,23,0.0,,,,-0.336
173404,2020-07-11,Avery,North Carolina,37011.0,26,0.0,,,,-0.301
174987,2020-07-12,Avery,North Carolina,37011.0,26,0.0,,,,-0.12
176570,2020-07-13,Avery,North Carolina,37011.0,30,0.0,,,,-0.102
178153,2020-07-14,Avery,North Carolina,37011.0,31,0.0,,,,-0.06859999900000001
179736,2020-07-15,Avery,North Carolina,37011.0,36,0.0,,,,-0.067299999
181319,2020-07-16,Avery,North Carolina,37011.0,38,0.0,,,,-0.11199999999999999
182903,2020-07-17,Avery,North Carolina,37011.0,39,0.0,,,,-0.17399999
184487,2020-07-18,Avery,North Carolina,37011.0,41,0.0,,,,-0.134
186071,2020-07-19,Avery,North Carolina,37011.0,42,0.0,,,,-0.21600001
187656,2020-07-20,Avery,North Carolina,37011.0,45,0.0,,,,-0.23
189241,2020-07-21,Avery,North Carolina,37011.0,52,0.0,,,,-0.28999999
190826,2020-07-22,Avery,North Carolina,37011.0,53,0.0,,,,-0.28999999
192411,2020-07-23,Avery,North Carolina,37011.0,53,0.0,,,,-0.223
193995,2020-07-24,Avery,North Carolina,37011.0,54,0.0,,,,-0.16
195579,2020-07-25,Avery,North Carolina,37011.0,60,0.0,,,,-0.20200001
197163,2020-07-26,Avery,North Carolina,37011.0,61,0.0,,,,-0.19699999999999998
198747,2020-07-27,Avery,North Carolina,37011.0,61,0.0,,,,-0.223
200332,2020-07-28,Avery,North Carolina,37011.0,72,0.0,,,,-0.215
201917,2020-07-29,Avery,North Carolina,37011.0,72,0.0,,,,-0.23100001
203502,2020-07-30,Avery,North Carolina,37011.0,75,0.0,,,,-0.31200001
