,month,county,state,fips,cases,deaths,new_cases,emp_combined,revenue_all,spend_all,year,median_income,median_age,pop,pop_density,over60,casesper100k,casesper100klog,region,pct_min,new_cases_per100k
0,1,Cook,Illinois,17031.0,1.0,0.0,0.0,0.018500000000000003,0.0224,-0.03805,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,0.019250482465216785,-1.715558381513629,IL,48.752405107152995,
1,2,Cook,Illinois,17031.0,2.0,0.0,0.0,0.0243,-0.0194,-0.0187,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,0.03850096493043357,-1.4145283858496478,IL,48.752405107152995,0.019250482465216785
2,3,Cook,Illinois,17031.0,76.0,0.0,25.0,0.00849,-0.18,-0.0773,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,1.4630366673564756,0.16525521076716226,IL,48.752405107152995,1.424535702426042
3,4,Cook,Illinois,17031.0,17696.5,676.0,993.5,-0.17149999999999999,-0.483,-0.3555,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,340.66616294570883,2.532328998916426,IL,48.752405107152995,339.2031262783524
4,5,Cook,Illinois,17031.0,61212.0,2814.0,1398.0,-0.144,-0.41,-0.265,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,1178.36053266085,3.0712781880651825,IL,48.752405107152995,837.6943697151411
5,6,Cook,Illinois,17031.0,85361.0,4229.5,363.5,-0.0968,-0.3735,-0.191,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,1643.24043371337,3.2157011126715056,IL,48.752405107152995,464.87990105252015
6,7,Cook,Illinois,17031.0,97214.0,4750.0,470.0,-0.0694,-0.281,-0.152,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,1871.4164023735846,3.2721704316114084,IL,48.752405107152995,228.1759686602145
7,8,Cook,Illinois,17031.0,115960.0,4962.0,638.0,-0.056,-0.33899999999999997,-0.129,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,2232.285946666538,3.348749825169331,IL,48.752405107152995,360.8695442929536
8,9,Cook,Illinois,17031.0,135968.0,5141.5,553.0,-0.0525,-0.28200000000000003,-0.118,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,2617.4495998305956,3.4178783278957914,IL,48.752405107152995,385.16365316405745
9,10,Cook,Illinois,17031.0,160645.0,5340.0,1259.0,-0.04795,-0.31,-0.131,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,3092.49375562475,3.4903088313729604,IL,48.752405107152995,475.04415579415445
10,11,Cook,Illinois,17031.0,253354.5,6006.0,4112.5,,-0.358,-0.1465,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,4877.196359733766,3.6881702409785135,IL,48.752405107152995,1784.7026041090162
11,12,Cook,Illinois,17031.0,353938.0,7390.0,2918.5,,-0.35150000000000003,-0.161,2020.0,32955.0,35.3,5194675,5495.114000000001,16.888236511427568,6813.4772627738985,3.8333688109751463,IL,48.752405107152995,1936.2809030401322
12,1,Los Angeles,California,6037.0,1.0,0.0,0.0,0.01805,0.0009434999999999999,-0.01759,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,0.010184746203763162,-1.9920497888217457,CA,56.47200391501643,
13,2,Los Angeles,California,6037.0,1.0,0.0,0.0,0.0352,0.0441,0.0308,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,0.010184746203763162,-1.9920497888217457,CA,56.47200391501643,0.0
14,3,Los Angeles,California,6037.0,94.0,1.0,25.0,0.0155,-0.157,-0.036,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,0.9573661431537372,-0.018921935222047097,CA,56.47200391501643,0.947181396949974
15,4,Los Angeles,California,6037.0,10675.0,428.5,554.5,-0.215,-0.508,-0.35,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,108.72216572517175,2.0363180948753157,CA,56.47200391501643,107.76479958201801
16,5,Los Angeles,California,6037.0,37303.0,1793.0,933.0,-0.175,-0.381,-0.278,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,379.9215876389772,2.579693971433423,CA,56.47200391501643,271.19942191380545
17,6,Los Angeles,California,6037.0,74437.5,2942.5,1461.0,-0.1185,-0.305,-0.2285,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,758.1270455426204,2.879741990005107,CA,56.47200391501643,378.2054579036432
18,7,Los Angeles,California,6037.0,147468.0,3988.0,2628.0,-0.115,-0.22699999999999998,-0.174,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,1501.9241531765458,3.1766480014506997,CA,56.47200391501643,743.7971076339254
19,8,Los Angeles,California,6037.0,221950.0,5254.0,1609.0,-0.115,-0.272,-0.157,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,2260.504419925234,3.35420536053964,CA,56.47200391501643,758.580266748688
20,9,Los Angeles,California,6037.0,255598.5,6288.0,1028.5,-0.107,-0.255,-0.1305,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,2603.2058525625584,3.415508511980601,CA,56.47200391501643,342.7014326373246
21,10,Los Angeles,California,6037.0,287222.0,6855.0,1072.0,-0.08679999999999999,-0.22,-0.0998,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,2925.283174137263,3.4661679131575562,CA,56.47200391501643,322.07732157470446
22,11,Los Angeles,California,6037.0,341032.5,7272.0,2718.0,,-0.259,-0.1023,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,3473.3294597348604,3.5407459799012195,CA,56.47200391501643,548.0462855975975
23,12,Los Angeles,California,6037.0,529273.0,8321.5,11210.0,,-0.31,-0.1185,2020.0,29985.0,34.8,9818605,2419.637,15.459782728809236,5390.511177504341,3.731629950908996,CA,56.47200391501643,1917.1817177694802
24,1,Maricopa,Arizona,4013.0,1.0,0.0,0.0,0.01405,0.011099999999999999,-0.0062699999999999995,2020.0,32158.0,34.6,3817117,414.8976,17.093764744439326,0.02619778225294116,-1.581735471889271,AZ,34.56168621501516,
