,index,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all,month,year,median_income,median_age,pop,pop_density,over60,casesper100k,casesper100klog,region,pct_min,new_cases_per100k
0,277,2020-12-26,Autauga,Alabama,1001.0,3999,46.0,9.0,,,,-0.132,12,2020,29725.0,37.0,54571,91.80297,17.084165582452222,7328.068021476608,3.864989491939111,AL,20.07110003481703,
1,565,2020-12-26,Baldwin,Alabama,1003.0,12708,151.0,42.0,,,-0.297,0.00049,12,2020,29802.0,41.1,182265,114.6476,23.361588895289827,6972.26565714756,3.843373926234177,AL,13.769511425671414,
2,842,2020-12-26,Blount,Alabama,1009.0,4446,58.0,5.0,,,,0.13,12,2020,26976.0,39.0,57322,88.90221,20.971005896514427,7756.184362025051,3.889648123570484,AL,9.397787934824327,
3,1126,2020-12-26,Calhoun,Alabama,1015.0,9198,149.0,31.0,,,-0.303,0.0591,12,2020,24069.0,38.2,118572,195.7061,20.304119016293896,7757.312012954154,3.88971125989579,AL,23.846270620382548,
4,1403,2020-12-26,Cherokee,Alabama,1019.0,1368,23.0,0.0,,,,0.0843,12,2020,23121.0,43.9,25989,46.93699,25.645465389203125,5263.765439224287,3.72129652826543,AL,5.879410519835315,
5,1680,2020-12-26,Chilton,Alabama,1021.0,2812,54.0,11.0,,,-0.094,0.309,12,2020,24132.0,37.6,43643,62.99018,19.265403386568288,6443.186765346104,3.809100720199931,AL,17.528584194487088,
6,1949,2020-12-26,Coffee,Alabama,1031.0,3394,38.0,8.0,,,-0.456,-0.0563,12,2020,28172.0,37.6,49948,73.56418000000002,20.297108993353092,6795.066869544326,3.8321937349362414,AL,23.10202610715144,
7,2226,2020-12-26,Colbert,Alabama,1033.0,4401,59.0,6.0,,,-0.205,0.0945,12,2020,25308.0,41.8,54428,91.84309,23.81127360917175,8085.911663114573,3.907728992447637,AL,18.117513044756375,
8,2502,2020-12-26,Coosa,Alabama,1037.0,477,7.0,0.0,,,,0.114,12,2020,20110.0,44.2,11539,17.72705,24.47352456885345,4133.807089002514,3.616350205688331,AL,33.035791663055726,
9,2777,2020-12-26,Covington,Alabama,1039.0,2792,38.0,-1.0,,,-0.273,-0.0897,12,2020,24623.0,42.4,37765,36.64881,24.88282801535814,7393.088838871971,3.868825924917937,AL,13.766715212498342,
10,3053,2020-12-26,Crenshaw,Alabama,1041.0,899,36.0,2.0,,,,-0.153,12,2020,21337.0,40.7,13906,22.84016,22.644901481374944,6464.835322882209,3.810557466683632,AL,24.86696390047462,
11,3335,2020-12-26,Cullman,Alabama,1043.0,6725,70.0,18.0,,,0.0158,-0.0692,12,2020,24163.0,39.9,80406,109.4197,22.30928040196005,8363.803696241574,3.922403831099301,AL,5.3602964952864225,
12,3605,2020-12-26,Dale,Alabama,1045.0,3162,63.0,6.0,,,-0.317,0.0807,12,2020,24767.0,36.1,50251,89.55006999999998,19.094147380151643,6292.412091301666,3.798817156913403,AL,24.875126863147,
13,3882,2020-12-26,Dallas,Alabama,1047.0,2685,39.0,-5.0,,,-0.351,0.11,12,2020,20682.0,37.7,43820,44.77393,20.006846188954817,6127.3391145595615,3.7872719168108877,AL,70.13235965312643,
14,4158,2020-12-26,DeKalb,Alabama,1049.0,6710,58.0,14.0,,,-0.34,0.0853,12,2020,21951.0,37.5,71109,91.50639,19.883559043159085,9436.21763771112,3.9747979489332472,AL,15.142949556314953,
15,4447,2020-12-26,Elmore,Alabama,1051.0,5941,81.0,7.0,,,-0.218,0.337,12,2020,29988.0,37.8,79303,128.2215,17.631111055067276,7491.5198668398425,3.874569935565998,AL,22.734322787284217,
16,4722,2020-12-26,Escambia,Alabama,1053.0,2519,34.0,2.0,,,,-0.119,12,2020,22986.0,39.2,38319,40.54576,20.96871003940604,6573.7623633184585,3.817814000602793,AL,33.76392912132363,
17,4999,2020-12-26,Etowah,Alabama,1055.0,9619,91.0,46.0,,,-0.4,-0.0105,12,2020,23677.0,40.2,104430,195.1997,22.405439050081394,9210.954706501963,3.9643046467307492,AL,18.42669730920234,
18,5278,2020-12-26,Franklin,Alabama,1059.0,3135,36.0,6.0,,,-0.509,0.119,12,2020,24210.0,37.8,31704,50.02047,20.811254100428968,9888.342165026495,3.995123485840602,AL,18.729497855160233,
19,5537,2020-12-26,Geneva,Alabama,1061.0,1585,18.0,4.0,,,,0.149,12,2020,22376.0,42.0,26790,46.6393,24.341172079134,5916.3867114595,3.7720565529455614,AL,12.911534154535275,
20,5805,2020-12-26,Henry,Alabama,1067.0,1160,8.0,5.0,,,,0.404,12,2020,23973.0,42.8,17302,30.80017,25.459484452664434,6704.427233845799,3.8263616815455093,AL,30.81146688244134,
21,6084,2020-12-26,Houston,Alabama,1069.0,6871,63.0,19.0,,,-0.194,0.145,12,2020,25191.0,38.5,101547,175.1341,20.34328931430766,6766.324952977438,3.830352850959522,AL,28.726599505647627,
22,6366,2020-12-26,Jackson,Alabama,1071.0,4884,34.0,12.0,,,,-0.0359,12,2020,24004.0,41.4,53227,49.38175,23.219418716065153,9175.794239765532,3.9626436662776556,AL,5.861686737933756,
23,6655,2020-12-26,Jefferson,Alabama,1073.0,49278,658.0,153.0,,,-0.171,0.0189,12,2020,29369.0,37.1,658466,592.5313,18.588962831793896,7483.757703510888,3.8741197182010834,AL,45.86614950506176,
24,6937,2020-12-26,Lamar,Alabama,1075.0,1009,15.0,2.0,,,,0.026,12,2020,21355.0,43.5,14564,24.07884,25.720955781378738,6928.041746772865,3.8406104959750045,AL,12.517165613842351,
25,7219,2020-12-26,Lauderdale,Alabama,1077.0,6039,68.0,-9.0,,,-0.169,0.043,12,2020,26007.0,40.4,92709,138.8489,23.049542115652198,6513.930686341132,3.813843132997702,AL,12.230743509260158,
26,7496,2020-12-26,Lawrence,Alabama,1079.0,1924,42.0,3.0,,,-0.383,-0.0301,12,2020,24698.0,40.6,34339,49.71785,21.04895308541309,5602.958734966073,3.7484174239591757,AL,13.139578904452662,
27,7783,2020-12-26,Lee,Alabama,1081.0,9800,74.0,21.0,,,-0.345,-0.0934,12,2020,25439.0,29.5,140247,230.8456,13.51829272640413,6987.671750554379,3.8443324955851907,AL,26.005547355736667,
28,8072,2020-12-26,Limestone,Alabama,1083.0,6479,55.0,20.0,,,-0.416,0.317,12,2020,28473.0,38.4,82782,147.8418,18.00753787055157,7826.580657630885,3.893572065267983,AL,18.1440409750912,
29,8357,2020-12-26,Madison,Alabama,1089.0,21038,179.0,123.0,,,-0.305,-0.0632,12,2020,32588.0,37.3,334811,417.682,17.328582394246304,6283.545044816328,3.7982047327526294,AL,28.60718435176861,
30,8638,2020-12-26,Marion,Alabama,1093.0,1990,43.0,4.0,,,-0.251,0.202,12,2020,20344.0,42.8,30776,41.46078,25.289186378996614,6466.077462958149,3.8106409031109476,AL,5.900701845593969,
31,8915,2020-12-26,Marshall,Alabama,1095.0,8831,84.0,11.0,,,-0.219,-0.0832,12,2020,24278.0,38.2,93019,164.3905,20.728023307066298,9493.759339489783,3.9774382184444526,AL,13.687526204323847,
32,9198,2020-12-26,Mobile,Alabama,1097.0,24668,487.0,90.0,,,-0.178,0.0125,12,2020,25908.0,36.6,412992,335.92,18.50859096544243,5972.997055633039,3.776192300663255,AL,37.029288702928866,
33,9487,2020-12-26,Montgomery,Alabama,1101.0,15438,271.0,19.0,,,-0.0874,0.0688,12,2020,26487.0,34.9,229363,292.4626,17.035005646071948,6730.8153451079725,3.8280676761754218,AL,58.33155304037704,
34,9765,2020-12-26,Morgan,Alabama,1103.0,10124,87.0,38.0,,,-0.235,-0.0919,12,2020,26510.0,39.0,119490,206.253,20.01255335174492,8472.6755377019,3.9280205753572264,AL,19.533852205205456,
35,10027,2020-12-26,Perry,Alabama,1105.0,824,9.0,1.0,,,,-0.066,12,2020,17576.0,37.2,10591,14.7166,22.349164384855065,7780.190727976584,3.8909902436596724,AL,69.77622509678028,
36,10304,2020-12-26,Pike,Alabama,1109.0,1896,23.0,5.0,,,,-0.0231,12,2020,20958.0,31.4,32899,48.94999,18.13125018997538,5763.093103133834,3.760655635692871,AL,38.85832396121463,
37,10579,2020-12-26,Randolph,Alabama,1111.0,1208,30.0,4.0,,,,0.00633,12,2020,24128.0,41.2,22913,39.46777,23.632872168637892,5272.116265875267,3.721984979179142,AL,22.938942958146033,
38,10856,2020-12-26,Russell,Alabama,1113.0,2682,6.0,20.0,,,-0.381,0.404,12,2020,24726.0,35.8,52947,82.58254000000002,18.05201427842937,5065.442801291858,3.7046174156888085,AL,45.48133038699076,
39,11141,2020-12-26,St. Clair,Alabama,1115.0,6193,71.0,21.0,,,-0.253,0.232,12,2020,28940.0,38.6,83593,132.2879,19.009964949218237,7408.515067051069,3.869731168463566,AL,10.606151232758723,
40,11428,2020-12-26,Shelby,Alabama,1117.0,14880,103.0,40.0,,,-0.45,0.136,12,2020,38053.0,36.9,195085,248.538,16.010456980290645,7627.444447292206,3.8823790532436733,AL,16.55637286311095,
41,11712,2020-12-26,Talladega,Alabama,1121.0,4917,74.0,10.0,,,-0.0506,0.159,12,2020,22313.0,39.3,82291,111.6908,20.35216487829775,5975.1370137682125,3.776347868388583,AL,33.692627383310445,
42,11991,2020-12-26,Tallapoosa,Alabama,1123.0,2293,98.0,10.0,,,-0.128,-0.1,12,2020,24621.0,42.4,41616,58.08067,24.36322568242984,5509.900038446752,3.741143719878141,AL,29.135428681276434,
43,12280,2020-12-26,Tuscaloosa,Alabama,1125.0,17684,216.0,49.0,,,-0.196,-0.0293,12,2020,25278.0,31.2,194656,147.2709,15.593662666447475,9084.744369554495,3.9583127114510073,AL,32.65247410817031,
44,12563,2020-12-26,Walker,Alabama,1127.0,5022,133.0,28.0,,,,-0.0327,12,2020,24078.0,41.2,67023,84.71143000000002,22.926458081554088,7492.950181281052,3.8746528450942095,AL,7.810751533055816,
45,12838,2020-12-26,Winston,Alabama,1133.0,1878,27.0,7.0,,,,0.195,12,2020,20905.0,43.1,24484,39.94265,25.008168599901968,7670.315307956216,3.884813217102942,AL,3.079562163045254,
46,13128,2020-12-26,Anchorage,Alaska,2020.0,22268,116.0,144.0,,,-0.365,0.0247,12,2020,38390.0,32.9,291826,171.1908,12.020519076435956,7630.574383365431,3.882557230240237,AK,13.119804266926181,
47,13407,2020-12-26,Juneau City and Borough,Alaska,2110.0,1009,3.0,8.0,,,-0.439,0.16,12,2020,42746.0,38.1,31275,11.57506,14.37250199840128,3226.219024780176,3.508693847871453,AK,5.969624300559552,
