,Unnamed: 0,fips,median_income,cases,county,state,emp_combined,merchants_all,spend_all,median_age,pop,pop_density,afr,hisp,over65,casesper100k
0,0,1001,29725.0,3300,Autauga,Alabama,,,-0.016483288395904776,37.0,54571,91.80297,17.67055762218028,2.4005424126367485,22.733686390207247,6047.167909695626
1,1,1003,29802.0,10806,Baldwin,Alabama,0.001396168582375477,-0.23357129906542054,-0.06342737797317456,41.1,182265,114.6476,9.38468713137465,4.384824294296766,30.23235399006941,5928.730145667023
2,2,1009,26976.0,3776,Blount,Alabama,,,-0.03466198416885708,39.0,57322,88.90221,1.3275880115836851,8.070199923240642,27.41530302501657,6587.348661944803
3,3,1015,24069.0,7813,Calhoun,Alabama,-0.04328136781609195,-0.13508096573208722,-0.030889627143457117,38.2,118572,195.7061,20.563033431164182,3.283237189218365,27.07131531896232,6589.245353034444
4,4,1019,23121.0,1197,Cherokee,Alabama,,,-0.13595505347016196,43.9,25989,46.93699,4.64812035861326,1.2312901612220557,32.990880757243445,4605.794759321251
5,5,1021,24132.0,2547,Chilton,Alabama,,,-0.02074296207079366,37.6,43643,62.99018,9.692275966363447,7.83630822812364,25.69713356093761,5835.9874435762895
6,6,1031,28172.0,2921,Coffee,Alabama,,,-0.020020018821999986,37.6,49948,73.56418000000002,16.735404821013855,6.366621286137582,26.515576199247214,5848.082005285497
7,7,1033,25308.0,3843,Colbert,Alabama,,,0.031918768104507916,41.8,54428,91.84309,16.109355478797678,2.008157565958697,30.669875799221,7060.704049386344
8,8,1037,20110.0,433,Coosa,Alabama,,,0.035339650860000016,44.2,11539,17.72705,31.042551347603784,1.993240315451945,32.645809862206434,3752.491550394315
9,9,1039,24623.0,2525,Covington,Alabama,,,-0.14035439384257148,42.4,37765,36.64881,12.487753210644774,1.278962001853568,31.83635641466967,6686.084999338012
10,10,1041,21337.0,778,Crenshaw,Alabama,,,-0.2454921270577777,40.7,13906,22.84016,23.399971235437945,1.4669926650366751,29.36142672227816,5594.707320581044
11,11,1043,24163.0,5700,Cullman,Alabama,,-0.05445243395638631,-0.057537277495393585,39.9,80406,109.4197,1.06459716936547,4.2956993259209515,28.766509961943136,7089.023207223341
12,12,1045,24767.0,2767,Dale,Alabama,,,-0.007421104830761905,36.1,50251,89.55006999999998,19.261308232671983,5.613818630475016,25.21740860878391,5506.35808242622
13,13,1047,20682.0,2490,Dallas,Alabama,,,-0.03322777440515244,37.7,43820,44.77393,69.42720219078046,0.7051574623459608,26.661341853035143,5682.336832496577
14,14,1049,21951.0,5834,DeKalb,Alabama,,,-0.12471321264822224,37.5,71109,91.50639,1.5159825057306389,13.626967050584314,26.01920994529525,8204.306065336314
15,15,1051,29988.0,4959,Elmore,Alabama,,,-0.05060290214574607,37.8,79303,128.2215,20.04968286193461,2.6846399253496087,23.82003202905313,6253.231277505264
16,16,1053,22986.0,2262,Escambia,Alabama,0.01653719923371647,,-0.22841326985619054,39.2,38319,40.545759999999994,31.890185025705264,1.8737440956183613,27.505937002531386,5903.076802630549
17,17,1055,23677.0,7977,Etowah,Alabama,,,-0.08850959955082534,40.2,104430,195.1997,15.125921670018196,3.3007756391841427,29.35459159245428,7638.609594943982
18,18,1059,24210.0,2865,Franklin,Alabama,,,0.03339596800638095,37.8,31704,50.02047,3.8733282866515264,14.856169568508706,26.968205904617715,9036.71461014383
19,19,1061,22376.0,1409,Geneva,Alabama,,,-0.009980282676476163,42.0,26790,46.6393,9.477416946621874,3.434117207913401,31.276595744680854,5259.425158641285
20,20,1067,23973.0,989,Henry,Alabama,,,0.14175098275047604,42.8,17302,30.80017,28.56317188764305,2.248294994798289,32.89793087504334,5716.102184718529
21,21,1069,25191.0,6062,Houston,Alabama,,-0.14279802803738326,-0.019751878639695263,38.5,101547,175.1341,25.77722630899977,2.9493731966478576,26.8900115217584,5969.649521896265
22,22,1071,24004.0,4361,Jackson,Alabama,,,0.01911611756571429,41.4,53227,49.38175,3.3460461795705188,2.515640558363237,30.330471377308516,8193.210212861894
23,23,1073,29369.0,40709,Jefferson,Alabama,-0.10560715480459756,-0.1604479657320872,-0.0365000064567619,37.1,658466,592.5313,41.99533461105053,3.870814894011232,25.37777197304037,6182.39969869363
24,24,1075,21355.0,855,Lamar,Alabama,,,0.016725599770857157,43.5,14564,24.07884,11.28124141719308,1.2359241966492722,32.903048613018406,5870.6399340840435
25,25,1077,26007.0,5078,Lauderdale,Alabama,,,0.015365682491174587,40.4,92709,138.8489,9.985006849388947,2.24573665987121,29.839605647779607,5477.353870713739
26,26,1079,24698.0,1585,Lawrence,Alabama,,,0.01596396803015874,40.6,34339,49.71785,11.468010134249687,1.6715687702029758,27.65660036692973,4615.74303270334
27,27,1081,25439.0,8744,Lee,Alabama,-0.11179819923371644,,-0.13975453922003178,29.5,140247,230.8456,22.746297603513803,3.259249752222864,18.59790227241937,6234.714468045662
28,28,1083,28473.0,5315,Limestone,Alabama,,,-0.08311867337266668,38.4,82782,147.8418,12.598149356140222,5.545891618950981,24.248024932956447,6420.477881665096
29,29,1089,32588.0,17030,Madison,Alabama,-0.09333485440613036,-0.19121156074766352,-0.13238540504641585,37.3,334811,417.68199999999996,24.00637971870697,4.600804633061638,23.47413914118712,5086.451759350798
30,30,1093,20344.0,1684,Marion,Alabama,,,0.0900342215161905,42.8,30776,41.46078,3.8471536262022346,2.053548219391734,32.02170522485053,5471.796204834936
31,31,1095,24278.0,7801,Marshall,Alabama,,-0.20794280373831772,-0.05725464748279373,38.2,93019,164.3905,1.6061234801492168,12.08140272417463,26.948257882798142,8386.458680484631
32,32,1097,25908.0,22169,Mobile,Alabama,-0.016693859003831406,-0.1672578691588784,-0.10493288561742856,36.6,412992,335.92,34.62343096234309,2.4058577405857737,24.96682744459941,5367.900588873392
33,33,1101,26487.0,13783,Montgomery,Alabama,-0.10640669731800773,-0.16360745794392512,-0.08100488236765079,34.9,229363,292.4626,54.70673125133521,3.6248217890418246,23.20121379647109,6009.251710171213
34,34,1103,26510.0,8492,Morgan,Alabama,,-0.19185320560747665,-0.11934486662473022,39.0,119490,206.253,11.871286300108796,7.662565905096661,26.564566072474683,7106.87086785505
35,35,1105,17576.0,745,Perry,Alabama,,,0.03824790144974602,37.2,10591,14.7166,68.69983948635634,1.0763856104239449,28.703616277971854,7034.274383910867
