"GEO_ID","NAME","B07011_001E","B07011_001M","B07011_002E","B07011_002M","B07011_003E","B07011_003M","B07011_004E","B07011_004M","B07011_005E","B07011_005M","B07011_006E","B07011_006M"
"id","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"0500000US01001","Autauga County, Alabama","29725","1643","30455","1528","20633","3677","21194","12010","51250","23573","64609","54695"
"0500000US01003","Baldwin County, Alabama","29802","905","30444","834","24850","2906","25568","2930","23973","4726","15733","9620"
"0500000US01005","Barbour County, Alabama","17963","1198","18015","1266","15709","5056","18295","6273","19567","10444","54063","9046"
"0500000US01007","Bibb County, Alabama","21958","1400","22295","1642","18250","10024","17610","6531","17228","16589","-","**"
"0500000US01009","Blount County, Alabama","26976","969","27205","1081","21055","10010","31803","5361","14438","10060","-","**"
"0500000US01011","Bullock County, Alabama","21571","1971","21616","2212","18750","12324","36445","34540","-","**","-","**"
"0500000US01013","Butler County, Alabama","19685","1117","20268","1181","11544","1578","18101","1235","23512","9920","-","**"
"0500000US01015","Calhoun County, Alabama","24069","834","25238","874","18216","2168","17165","3705","19786","5093","-","**"
"0500000US01017","Chambers County, Alabama","22754","1104","22812","1196","22668","3496","23086","4660","20000","11987","30104","19895"
"0500000US01019","Cherokee County, Alabama","23121","1325","23817","1390","17022","3951","20000","4460","16027","2069","-","**"
"0500000US01021","Chilton County, Alabama","24132","1516","24382","1692","24849","3655","21708","3277","8686","960","-","**"
"0500000US01023","Choctaw County, Alabama","20652","1620","21087","1582","38167","23527","13824","2634","-","**","15250","6807"
