,id,median_age,pop,african_american,median_income,area,pop_density
0,01001,38.2,55380,10538,29725.0,594.44,93.16331337056725
1,01003,43.0,212830,19718,29802.0,1589.78,133.8738693404119
2,01005,40.4,25361,12066,17963.0,884.88,28.660383328812948
3,01007,40.9,22493,5014,21958.0,622.58,36.128690288798225
4,01009,40.7,57681,928,26976.0,644.78,89.45841992617638
5,01011,40.2,10248,7666,21571.0,622.81,16.45445641527914
6,01013,40.8,19828,9001,19685.0,776.83,25.52424597402263
7,01015,39.6,114618,23830,24069.0,605.87,189.17919685741165
8,01017,42.0,33660,13316,22754.0,596.53,56.426332288401255
9,01019,46.5,25903,1191,23121.0,553.7,46.781650713382696
10,01021,38.7,44055,4041,24132.0,692.85,63.5851915999134
11,01023,46.3,12925,5500,20652.0,913.5,14.14887794198139
12,01025,42.5,24128,11044,21613.0,1238.47,19.48210291730926
13,01027,43.3,13337,2075,22404.0,603.96,22.08258825087754
14,01029,43.1,14916,410,23433.0,560.1,26.630958757364755
15,01031,39.3,51662,8733,28172.0,678.97,76.08878153673948
16,01033,42.4,54771,8872,25308.0,592.62,92.42178799230535
17,01035,44.8,12394,5919,21085.0,850.16,14.578432295097395
18,01037,48.4,10757,3615,20110.0,650.93,16.525586468591094
19,01039,43.3,37200,5018,24623.0,1030.46,36.100382353512025
20,01041,41.7,13844,3228,21337.0,608.84,22.738322055055516
21,01043,40.8,82853,1073,24163.0,734.84,112.74971422350443
22,01045,37.3,49277,10000,24767.0,561.15,87.81430989931391
23,01047,39.6,39149,27693,20682.0,978.7,40.00102176356391
24,01049,39.5,71310,1039,21951.0,777.09,91.76543257537736
25,01051,38.7,81144,17449,29988.0,618.49,131.19694740416173
26,01053,40.0,37057,11878,22986.0,945.08,39.21043721166462
27,01055,41.4,102748,16330,23677.0,534.99,192.05592627899586
28,01057,43.7,16494,1948,21529.0,627.66,26.278558455214608
29,01059,38.6,31466,1385,24210.0,633.82,49.645009624183515
30,01061,43.2,26417,2538,22376.0,574.41,45.98979822774673
31,01063,40.9,8324,6618,16949.0,647.11,12.863346262613774
32,01065,40.5,14809,8796,19167.0,643.94,22.997484237661894
33,01067,44.4,17133,4565,23973.0,561.75,30.49933244325768
34,01069,40.1,104702,28157,25191.0,579.82,180.57673070953052
35,01071,43.1,51852,1809,24004.0,1077.87,48.10598680731443
36,01073,37.7,659680,283311,29369.0,1111.28,593.6217694910374
37,01075,44.8,13885,1479,21355.0,604.85,22.956104819376705
38,01077,41.0,92556,9596,26007.0,667.7,138.61914033248465
39,01079,42.4,33058,3502,24698.0,690.68,47.86297561823131
40,01081,31.9,161152,36920,25439.0,607.54,265.25331665404747
41,01083,39.7,94727,13028,28473.0,559.94,169.17348287316497
42,01085,42.0,10079,7522,17895.0,715.91,14.078585297034545
43,01087,38.6,18708,15560,17540.0,608.89,30.724761451165236
44,01089,38.5,362276,88011,32588.0,801.59,451.9467558228022
45,01091,42.2,19321,10348,22415.0,976.88,19.778273687658668
46,01093,44.3,29866,1070,20344.0,742.29,40.23494860499266
47,01095,38.8,95643,2549,24278.0,565.84,169.02834723596774
48,01097,37.9,414114,148050,25908.0,1229.44,336.8314029151483
